"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2023","360.00","360.00","360.00","357.95","29.10K","1.39%"
"01/30/2023","355.05","360.00","360.00","355.05","2.00K","-0.82%"
"01/27/2023","358.00","360.00","365.00","358.00","66.95K","-0.56%"
"01/26/2023","360.00","368.00","368.00","359.00","43.82K","-1.23%"
"01/25/2023","364.50","365.00","365.00","364.50","21.86K","-0.14%"
"01/24/2023","365.00","369.00","369.00","365.00","26.81K","-0.92%"
"01/23/2023","368.40","370.00","370.00","360.00","10.77K","0.11%"
"01/20/2023","368.00","370.00","370.00","365.50","28.42K","0.00%"
"01/19/2023","368.00","371.00","372.95","360.00","26.85K","-1.08%"
"01/18/2023","372.00","373.00","374.00","372.00","31.50K","-0.53%"
"01/17/2023","374.00","375.00","375.00","373.35","16.68K","0.00%"
"01/16/2023","374.00","375.00","375.00","373.35","60.42K","0.00%"
"01/13/2023","374.00","370.00","375.00","370.00","35.63K","1.22%"
"01/12/2023","369.50","365.00","370.00","365.00","97.80K","2.64%"
"01/10/2023","360.00","361.00","361.00","358.10","76.31K","0.00%"
"01/09/2023","360.00","360.00","365.00","360.00","74.72K","0.28%"
"01/06/2023","359.00","365.00","370.00","359.00","99.81K","-1.62%"
"01/05/2023","364.90","380.00","380.00","363.00","29.07K","-3.85%"
"01/04/2023","379.50","385.00","385.00","379.50","46.21K","-1.17%"
"01/03/2023","384.00","385.40","390.10","382.05","30.86K","-0.26%"
"01/02/2023","385.00","400.00","400.00","385.00","2.48K","-1.79%"
