"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","392.00","393.50","395.00","392.00","72.49K","-0.76%"
"12/29/2022","395.00","392.35","395.00","392.35","35.95K","-0.50%"
"12/28/2022","397.00","392.30","397.00","390.05","2.34K","0.00%"
"12/27/2022","397.00","392.00","398.95","392.00","27.38K","-0.75%"
"12/26/2022","400.00","400.00","400.00","400.00","0.16K","0.00%"
"12/23/2022","400.00","400.00","400.00","396.00","32.09K","1.27%"
"12/22/2022","395.00","394.00","400.00","394.00","1.87K","1.02%"
"12/21/2022","391.00","390.00","392.00","390.00","0.71K","0.26%"
"12/20/2022","390.00","403.00","404.00","390.00","55.00K","-2.50%"
"12/19/2022","400.00","398.00","400.00","398.00","0.01K","-0.49%"
"12/16/2022","401.95","409.80","409.80","400.00","24.44K","-1.96%"
"12/15/2022","410.00","410.00","410.00","409.50","32.77K","0.00%"
"12/14/2022","410.00","409.05","410.00","409.05","55.83K","0.05%"
"12/13/2022","409.80","412.00","412.00","407.50","254.02K","-0.02%"
"12/12/2022","409.90","411.95","412.00","407.05","13.98K","0.00%"
"12/09/2022","409.90","408.00","410.00","406.05","20.58K","-0.01%"
"12/08/2022","409.95","406.50","410.00","406.50","862.56K","-0.01%"
"12/07/2022","410.00","411.00","411.00","408.00","192.81K","0.00%"
"12/06/2022","410.00","412.00","412.00","408.00","41.06K","0.00%"
"12/05/2022","410.00","406.05","410.00","405.10","2.08K","0.00%"
"12/02/2022","410.00","410.00","410.00","405.65","15.51K","0.00%"
"12/01/2022","410.00","405.00","411.05","405.00","16.54K","1.74%"
"11/30/2022","403.00","405.25","408.00","401.00","62.88K","-1.47%"
"11/29/2022","409.00","410.00","410.00","406.00","19.36K","-0.24%"
"11/28/2022","410.00","410.00","411.00","410.00","26.03K","0.01%"
"11/25/2022","409.95","405.00","409.95","405.00","6.14K","1.72%"
"11/24/2022","403.00","402.55","410.00","394.10","6.70K","-0.49%"
"11/23/2022","405.00","402.00","405.00","400.05","5.78K","0.37%"
"11/22/2022","403.50","401.05","403.50","401.00","6.58K","0.62%"
"11/21/2022","401.00","405.00","405.10","401.00","30.76K","-0.99%"
"11/17/2022","405.00","395.00","405.00","395.00","44.07K","3.85%"
"11/16/2022","390.00","385.00","390.05","385.00","25.20K","1.80%"
"11/15/2022","383.10","379.00","383.10","378.00","37.84K","1.35%"
"11/14/2022","378.00","378.00","378.00","375.00","9.66K","1.34%"
"11/11/2022","373.00","380.00","380.00","370.10","150.15K","0.27%"
